Principal_Component_1_Stratified,Principal_Component_2_Stratified
0.3707212824349522,0.031783849763677416
0.10407208347731423,-0.27559445428860324
-0.03460296657232334,0.19419751542376457
0.46098307146324463,0.3511333274045682
0.5414273342825171,-0.23010770951527454
0.5542632740929875,-0.11520607468944608
0.2683540304997327,-0.2143569982694788
0.4220005295521168,0.24877655461156142
0.36731119485498964,-0.20170759289511414
0.6227672573511509,-0.11688305297204275
0.4111575828551712,-0.24748647271655325
0.2685240510520624,-0.1376484913056469
0.44678637717688563,-0.027208982370781683
0.0731174129921935,-0.11595269721129475
0.22103657998411436,0.3425238610388473
0.5995119735648426,-0.27104074031823655
0.10142947627670114,0.2010489181826878
0.27322835032447407,-0.0842563067120783
0.6753286223382168,0.009833519747059441
0.5543761621386945,-0.17737877806480737
0.4507571699904758,-0.2316084422305955
0.2940228579094018,-0.3971699319591797
0.47040836821997956,-0.21627129078381008
0.5731225187662324,-0.12311922203655017
0.5732069975346269,-0.2295641764241665
0.1495496507983542,0.08822658909799093
0.7915029410075131,-0.11754421384833898
0.23064064815834437,-0.039396773625340796
0.5308775569572064,-0.1305429602111153
0.5727170599403353,-0.044854556400647456
0.5635200101146465,-0.18815397952015106
0.3016636207334209,-0.1736415620301347
0.6706944843912935,-0.16569951115150663
0.15887191282226532,-0.29279689836624423
0.18553680094024164,-0.018146360955819757
0.6065191171752397,-0.10728078715849695
0.11420273040550184,-0.5137735430011893
0.5723804887976407,-0.09371110704682399
0.37711848428318917,-0.09552551446223242
0.3931676089394028,-0.09404148024187921
0.29709962611918617,-0.0088478815160498
0.33445532081599066,-0.22563101915372147
0.18475622020834065,-0.050443622173865076
0.27602137519467335,-0.0862701942083913
0.515799576895862,-0.14820529191004184
0.5959393343093251,-0.142893696423488
0.4593388086067866,-0.017143535155107928
0.5942205923785499,-0.14485467183254358
0.46539724757574297,0.27820664988706445
0.662614824606077,-0.07976304176058341
0.35175648506331986,-0.3633955819604542
0.3653939561638849,-0.27738044352446223
0.567022233885619,-0.20938457046569137
0.5747799143384855,-0.22825384581231095
0.5169937690574389,-0.22511936660040724
0.2943163026517329,0.002680016311362174
0.021095684776837077,0.3367622995407429
0.3400001434361515,-0.38242768585130443
0.5537364324162399,-0.17215820934394147
0.5437774493807562,-0.1865874409236218
0.5388471301855193,-0.06134858431618668
0.03743931357274055,-0.16248448599957602
0.22579471333321083,-0.1944981647930668
0.6441606323994359,-0.15160261572124248
0.2752033480126985,-0.0024452052808504
0.6595468524306753,-0.014360572895306439
0.2715788303911066,0.14917683382631808
0.11073663772442588,0.16460311814060197
0.5183331672189074,0.023237126259700116
0.5326054050200464,-0.17767298405622148
0.18459762651633874,-0.11896240019340897
0.5350927962949272,-0.20444557978772906
0.6843357723468154,-0.08653494507983826
0.6024118555858657,-0.10968584792010126
0.5790629768648766,-0.14662328280802903
0.2143320763842518,0.031260748608559825
0.697593863099787,-0.030614393234733406
0.2730013724746497,0.01936745006631354
0.17811949791019538,-0.29478535286078306
0.7133911689497684,-0.00916033240133104
0.08935832331774365,0.2740027984337627
0.5706345220020821,-0.20286000686594566
0.13294214039429236,-0.06358981245257096
0.1475297819093237,-0.23448063245787304
0.5015920990046211,-0.025994918986829735
0.5636208422726194,0.008558944133613059
0.5807379081360593,-0.21604024909973038
0.3109492802814798,0.11155967724333317
0.6032793948194846,-0.1045925442196404
0.39171227342909337,-0.007585646098580835
0.6383091323366611,-0.046780129892539615
0.5664147835016409,-0.04372161013678848
0.2303482690329426,0.2743064641432952
0.6447131008147641,0.14166103626960755
0.43517108617759537,-0.18480196178943187
0.47053690473212056,0.03983255350314635
0.6186787565897319,-0.05536545104326832
0.5586056383853395,-0.16980049120088947
0.3220715930360474,-0.04989020408631975
0.2547950887661989,-0.14924449094270348
0.17261465119950187,0.289039922015193
0.6487558503643703,-0.08958148156016893
0.6332600866516485,-0.03768599204812456
0.31519236803374173,-0.07634928982022465
0.16426152218440992,-0.42507759313765603
0.37654551845811796,-0.09609280371569823
0.16878124826454327,0.34647084523360994
0.33753002804130994,-0.05581502867900396
0.17211393287277413,0.5224539445291995
0.4017397264716868,-0.2336091636537971
0.5741519060599417,-0.11371211569766775
0.5630458296499804,-0.026136799113732706
0.4142322766772977,-0.241599760299743
