,Reactions,Volleys,Curve,Skill Moves,ShortPassing,Penalties,Composure,Vision,Aggression,Weight,Height,ShotPower,Balance,International Reputation,Age,Potential,Finishing,Dribbling,Acceleration,SprintSpeed,Agility,Stamina,Value,Wage,Work Rate,Club,Nationality,Preferred Foot,Position,Body Type,Likability,brand_sponsors
ShotPower,0.44347303258859716,0.8351923926490205,0.7961389431612982,0.7254999721386994,0.7787420273760192,0.8004367140284046,0.6468787378046589,0.6899878540947367,0.5048954076904866,-0.08801331211579419,-0.09643350854648357,1.0,0.47762269365978244,0.24579792002895692,0.15488364545554978,0.29010099744075857,0.8182419814656796,0.8093790949628805,0.5549834865992089,0.5601010103643644,-0.13027165378798608,0.628457529110569,0.2806281597214428,0.257914797885401,0.1812862599396828,0.07879062104327035,0.058208908307727625,0.031902719044950935,0.5954995573780822,0.030677189085064765,-0.17662874359432854,0.12604711151145018
Balance,0.212715685987846,0.5244841146789195,0.5963901555942396,0.592174288365982,0.5541638524638189,0.49993323740475276,0.35035164239160166,0.5131847878303669,0.21384581912467068,-0.4589160875247854,-0.27589185706942077,0.47762269365978244,1.0,0.0807618650388503,-0.08713631316181314,0.14270457695869648,0.5334918047556597,0.672351231986667,0.7256004713868094,0.6613466423320201,0.04377166880332425,0.49853902104078973,0.11503153129412298,0.09080650524294756,0.14739480677565897,0.033193266218814584,0.02570847288332186,0.06034180170665651,0.4841908438227498,0.06112552508138954,0.07383529386380443,0.037107200326005105
International Reputation,0.46364331231681033,0.25646585968959346,0.24802195591582393,0.22612740024251263,0.2642234628363059,0.23618735626391513,0.4124614288560022,0.30382352900056514,0.19263375202701158,0.14556656892003744,0.10292678599084552,0.24579792002895692,0.0807618650388503,1.0,0.25103200283923516,0.37389879603085874,0.19234680242096783,0.19656118236178238,0.0739619162737626,0.07429507419386232,-0.16101318889786168,0.12062816123386554,0.6490071827026975,0.6642885569389484,0.03636128881724542,0.3188146471684548,0.030680249133472465,0.020613949769937804,0.026391494378240805,0.04215231342300185,-0.23194041659899603,0.4871032430255427
Age,0.4273070615351677,0.14137926776226245,0.14205690462968093,0.027480764344842555,0.130302864738955,0.1378572795196247,0.37802751321754563,0.18403607197537744,0.26155410638157767,0.2024158260855662,0.04503962345287176,0.15488364545554978,-0.08713631316181314,0.25103200283923516,1.0,-0.25331210741095583,0.06825171857294184,0.010241601649579497,-0.15441238953788686,-0.14745047866518535,-0.6667970561237383,0.09597107979446004,0.07502220683279805,0.14114503108397392,0.021997684595395906,0.09737120417267903,0.04776550878511569,8.686027919082691e-06,0.04694436546442789,0.042794123924151085,-0.9627046699144239,0.12352707038917506
Potential,0.4958960203978016,0.2571657218202052,0.2819821822368917,0.3551767284606079,0.3685966859925908,0.2270173654136995,0.434343450738841,0.3483472625169809,0.174714890451101,0.011891860109042527,0.03232845210043677,0.29010099744075857,0.14270457695869648,0.37389879603085874,-0.25331210741095583,1.0,0.2456859021317937,0.3165752771647199,0.23677261673522543,0.23881468957461546,0.1677551413409724,0.2056378832402995,0.5762182529816934,0.48641317405170725,0.029940115598936203,0.5281118191311217,0.1725945963824659,0.0028182101717692163,0.02665755619178103,0.012008943766374658,0.2490900344848559,0.18204290783245744
Finishing,0.34984858762367466,0.8843900204958063,0.7629154842727647,0.7476823073050876,0.6676296396882958,0.8402394418850374,0.5424545966416138,0.702322399480934,0.25726062495814894,-0.19772342703042675,-0.16551277758505395,0.8182419814656796,0.5334918047556597,0.19234680242096783,0.06825171857294184,0.2456859021317937,1.0,0.8270717547808737,0.6135367692020043,0.6013497293802096,-0.07102585806946836,0.5208040856211275,0.257044880379246,0.2180924327523689,0.23459292697638814,0.039487147108672134,0.03365964150089264,0.015854283172026012,0.7540705197841752,0.0218062662491657,-0.08903831908114888,0.10415993199388275
Dribbling,0.3938161286994177,0.8128754693187125,0.8455646241163994,0.843489213394999,0.8472046283375723,0.7749384467281496,0.6092388773316164,0.7371331565902007,0.45457127708386197,-0.2881383919334648,-0.21582476153264932,0.8093790949628805,0.672351231986667,0.19656118236178238,0.010241601649579497,0.3165752771647199,0.8270717547808737,1.0,0.7546065117129638,0.7338389431877439,-0.03418990189397388,0.6949011084457057,0.2717421048863623,0.23726674967834838,0.20757618599292746,0.06187647009672411,0.04259981119860079,0.039177205214919096,0.7886912597693309,0.03727980196078059,-0.042057818304194056,0.10560878422328342
Acceleration,0.24582635911283748,0.5809660740146457,0.6160243250093863,0.6631349205370799,0.5845951931204474,0.5477955203204637,0.38321840855219974,0.4836089085580534,0.276318226282448,-0.30527381716885804,-0.18905202290345519,0.5549834865992089,0.7256004713868094,0.0739619162737626,-0.15441238953788686,0.23677261673522543,0.6135367692020043,0.7546065117129638,1.0,0.9256661139058837,0.0690242087499407,0.6242002137849932,0.17060899639396732,0.12606452566102902,0.21254931065525337,0.037351633454649646,0.03229955174200918,0.060695049706016184,0.5841080992186173,0.06581681562288852,0.1095514395502448,0.039525534504300124
SprintSpeed,0.2504979237035651,0.5663278092995215,0.5883414683394189,0.6359830677945146,0.5743456810256945,0.5365592034847941,0.3879278085454978,0.45335388549449823,0.30389144413603403,-0.24555271920265448,-0.14264045083555071,0.5601010103643644,0.6613466423320201,0.07429507419386232,-0.14745047866518535,0.23881468957461546,0.6013497293802096,0.7338389431877439,0.9256661139058837,1.0,0.06072908894370058,0.6366002419503782,0.17254797136537897,0.13122212831648178,0.21290737594766249,0.04008817168032891,0.03349141506173563,0.062237053467570407,0.5664505255501749,0.0644378758716321,0.09898139051739936,0.03582863510360855
Agility,-0.3133750345708536,-0.11762709609492535,-0.1190930592792908,-0.03692349654184529,-0.11434096816603435,-0.10971122605270264,-0.2770326482565365,-0.1416307288037559,-0.20056620828669397,-0.14556616898970115,-0.0326436805733154,-0.13027165378798608,0.04377166880332425,-0.16101318889786168,-0.6667970561237383,0.1677551413409724,-0.07102585806946836,-0.03418990189397388,0.0690242087499407,0.06072908894370058,1.0,-0.10502459496284622,-0.061964899885237144,-0.10159239333938579,0.011194307676690055,0.06812988153846941,0.028473165538826475,5.012917016135255e-05,0.021352870619476605,0.021052610197040182,0.6692909237891236,-0.086130832124154
